Supplier,Website,Email,Framework,Borough,Councils Named,Council Access Basis,Companies House No,Notice ID,Awarded Date,Contact Status,Notes,Check
INFINITELIFE GROUP LTD,https://www.infinitelifegroup.co.uk/,info@infinitelifegroup.co.uk,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",12119254,Supported Living Framework 2020,01/03/2021,verified (existing data),Supported living contract over £10m - includes housing,
Intrigue Homecare Limited,http://intriguehomecare.org/,info@intriguehomecare.org,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",10413827,Supported Living Framework 2020,01/03/2021,verified (existing data),,Homecare provider that also offers supported living/accommodation
KEMFA Services Limited,http://www.kemfaservices.co.uk/,care@kemfaservices.co.uk,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",10614155,Supported Living Framework 2020,01/03/2021,verified (existing data),,Homecare provider that also offers supported living/accommodation
Kingswood Care Services Limited,https://www.kingswoodcare.co.uk/,Contact form: https://www.kingswoodcare.co.uk/contact-us,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",3566908,Supported Living Framework 2020,01/03/2021,verified (existing data),Supported living contract over £10m - includes housing,
L&Q Living,https://www.lqgroup.org.uk/your-home/landq-living,Contact form: https://www.lqgroup.org.uk/contact-us,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",,Supported Living Framework 2020,01/03/2021,web research (medium),"L&Q Living is part of L&Q Group and has no separate site. The only email on its page is recruitment@lq-living.co.uk (jobs only), so it was not used. The group contact page has a phone number and forms, with no general email.; Supported living contract over £10m - includes housing",
LEONARD CHESHIRE DISABILITY,https://www.leonardcheshire.org/,info@leonardcheshire.org,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",00552847,Supported Living Framework 2020,01/03/2021,verified (existing data),Supported living contract over £10m - includes housing,
Livability,https://www.shaftesburygroup.org/,info@shaftesburygroup.org,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",05967087,Supported Living Framework 2020,01/03/2021,web research (high),"Shaftesbury is the operating name of Livability (confirmed in the site footer); livability.org.uk redirects there. The existing email was correct; the website was a Northern Ireland service page, replaced with the homepage. services@shaftesburygroup.org is also listed.; Supported living contract over £10m - includes housing",
LIVING AMBITIONS LIMITED,https://lifeways.co.uk/,marketing@lifeways.co.uk,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",02622175,Supported Living Framework 2020,01/03/2021,web research (medium),Living Ambitions is part of the Lifeways Group. The contact page lists only marketing@ (for public/non-media enquiries) and press@ (media); there is no general or referrals email. dpo@ was a data-protection address.; Supported living contract over £10m - includes housing,
Lorablooms Care Services Limited,https://www.bloomscare.uk/,admin@bloomscare.uk,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",11352415,Supported Living Framework 2020,01/03/2021,verified (existing data),,Homecare provider that also offers supported living/accommodation
Maison Care Limited,http://www.maisoncare.co.uk/,info@maisoncare.co.uk,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",07952107,Supported Living Framework 2020,01/03/2021,verified (existing data),Supported living contract over £10m - includes housing,
METROPOLITAN HOUSING TRUST LIMITED,https://www.metropolitan.org.uk,customerservices@metropolitan.org.uk,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",IP16337R,Supported Living Framework 2020,01/03/2021,verified (existing data),Supported living contract over £10m - includes housing,
NAID CARE LIMITED,https://naidcare.co.uk/new/,Contact form: https://naidcare.co.uk/new/index.php/contact,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",07545009,Supported Living Framework 2020,01/03/2021,web research (high),"Naidcare, 4 Nelson Street, Southend-on-Sea. The site offers a contact form only, with no email published.; Supported living contract over £10m - includes housing",
NEXT STEP SUPPORT LIMITED,http://www.nextstepsupport.co.uk/,admin@nextstepsupport.co.uk,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",06848164,Supported Living Framework 2020,01/03/2021,verified (existing data),Supported living contract over £10m - includes housing,
Nexus Support Ltd,https://nationalcaregroup.com/service//nexus-wickford/,info@nationalcaregroup.com,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",06733934,Supported Living Framework 2020,01/03/2021,web research (high),Nexus Support (Wickford) was acquired by National Care Group in 2023; nexus-support.org.uk now redirects to nationalcaregroup.com. The existing values were correct (group service page and group email).; Supported living contract over £10m - includes housing,
P.G.S Healthcare Limited,http://www.gphealthcareltd.com/,info@gphealthcareltd.com,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",08670061,Supported Living Framework 2020,01/03/2021,verified (existing data),Supported living contract over £10m - includes housing,
Pathways Care and Support Services Limited,https://pathways-support.co.uk/,enquiries@pathways-support.uk,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",11396645,Supported Living Framework 2020,01/03/2021,verified (existing data),Supported living contract over £10m - includes housing,
Pathways Care Group Limited t/a Clearwater Care - a Salutem Comp,https://www.salutemcareandeducation.co.uk/,enquiries@salutemsharedservices.co.uk,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",5077107,Supported Living Framework 2020,01/03/2021,web research (high),"Pathways Care and Clearwater Care are part of Salutem Care & Education. The email is published on the Salutem contact page, so the existing values were correct. The legacy clearwatercare.co.uk no longer serves content.; Supported living contract over £10m - includes housing",
Peabody Trust,https://www.peabody.org.uk,supported.housing@peabody.org.uk,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",,Supported Living Framework 2020,01/03/2021,verified (existing data),Supported living contract over £10m - includes housing,
PROVIDE COMMUNITY INTEREST COMPANY,https://providecommunity.org.uk/,provide.enquiries@nhs.net,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",07320006,Supported Living Framework 2020,01/03/2021,web research (high),Existing values correct; the nhs.net email is published on Provide's own contact page.; Supported living contract over £10m - includes housing,
RADIANTLIFE LTD,https://radiantlife.co.uk/,No email published - contact page: https://radiantlife.co.uk/get-in-touch,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",07627219,Supported Living Framework 2020,01/03/2021,web research (low),"RadiantLife Ltd runs Radiant Life Care, supported living at 183 Cherry Tree Lane, Rainham RM13 8TU. radiantlifeproperty.com is the group's property arm, not the care service. radiantlife.co.uk is the Radiant Life Holding group site listing Radiantlife Care, but its care subsite (care.radiantlife.co.uk) does not resolve and the get-in-touch page is 404. No email verified.; Supported living contract over £10m - includes housing",
Royal Mencap Society,https://www.mencap.org.uk,information@mencap.org.uk,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",00550457,Supported Living Framework 2020,01/03/2021,verified (existing data),Supported living contract over £10m - includes housing,
Rumax Limited,https://www.ru-max.co.uk/,Enquiries@ru-max.co.uk,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",7468421,Supported Living Framework 2020,01/03/2021,verified (existing data),,Homecare provider that also offers supported living/accommodation
St Christopher Homes Limited,https://www.stchristopherhomes.com/,info@stchristopherhomes.com,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",08508648,Supported Living Framework 2020,01/03/2021,verified (existing data),Supported living contract over £10m - includes housing,"homecare and housing both on homepage (homecare 5, housing 13)"
St Elizabeth's Centre,https://www.stelizabeths.org.uk/,enquiries@stelizabeths.org.uk,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",11087989,Supported Living Framework 2020,01/03/2021,verified (existing data),Supported living contract over £10m - includes housing,
SUMMERCARE LIMITED,http://summercare.org/,contact@summercare.org,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",03487592,Supported Living Framework 2020,01/03/2021,verified (existing data),Supported living contract over £10m - includes housing,
T Bot Care Dynamics Ltd,https://www.tbotcaredynamics.co.uk/,info@tbotcaredynamics.co.uk,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",09100882,Supported Living Framework 2020,01/03/2021,verified (existing data),Supported living contract over £10m - includes housing,"homecare and housing both on homepage (homecare 11, housing 12)"
THE REGARD PARTNERSHIP LIMITED,https://www.achievetogether.co.uk/,info@achievetogether.co.uk,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",03153442,Supported Living Framework 2020,01/03/2021,web research (medium),The Regard Partnership merged with CMG in 2018 to form Achieve Together; regard.co.uk is defunct ('This site doesn't exist here'). The existing values were a Surrey council directory. referrals@achievetogether.co.uk is also on the contact page.; Supported living contract over £10m - includes housing,"homecare and housing both on homepage (homecare 4, housing 8)"
Thera East,https://www.thera.co.uk/,info@thera.co.uk,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",6795987,Supported Living Framework 2020,01/03/2021,web research (medium),"Thera East (CH 06795987, company limited by guarantee) is part of the Thera Trust group. The former Thera East Anglia company page now returns 404, so the group homepage and group email are used.; Supported living contract over £10m - includes housing",
TLC CARE HOMES LTD,https://ivolve.care/,enquiries@ivolve.care,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",3193730,Supported Living Framework 2020,01/03/2021,web research (high),TLC Care Homes / TLC Care and Support rebranded as ivolve Care & Support (Jan 2023); the CH registered office is the ivolve Chesterfield address. tlccare.co.uk / tlccareservices.co.uk are not current. referrals@ivolve.care is also listed.; Supported living contract over £10m - includes housing,
TRANSFORM SUPPORTED ACCOMMODATION LTD,http://transformsa.co/,info@transformsa.co,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",11398364,Supported Living Framework 2020,01/03/2021,verified (existing data),Supported living contract over £10m - includes housing,"homecare and housing both on homepage (homecare 7, housing 9)"
Valorum Care Group t/a Adjuvo Care and Support,https://www.valorumcaregroup.com/,info@valorumcaregroup.com,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",9983581,Supported Living Framework 2020,01/03/2021,verified (existing data),Supported living contract over £10m - includes housing,
VERITY HEALTHCARE LIMITED,https://verityhealthcare.co.uk/,info@verityhealthcare.co.uk,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",07462140,Supported Living Framework 2020,01/03/2021,verified (existing data),,Homecare provider that also offers supported living/accommodation
VIBRANCE,https://certitude.org.uk/,Contact form: https://certitude.org.uk/contact,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",08466095,Supported Living Framework 2020,01/03/2021,web research (medium),"vibrance.org.uk hosting is suspended. After Vibrance entered administration, Certitude Support bought its business and assets, and Vibrance's own notice redirected queries to Certitude (queries@certitude.org.uk), but that address could not be verified on Certitude's site. The existing BDO email belonged to the administrators. The Certitude contact page offers a form and phone (020 8772 6222).; Supported living contract over £10m - includes housing",
VITAL HEALTHCARE SERVICES LIMITED,http://www.vitalhealthcare.co.uk/,info@vitalhealthcare.co.uk,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",06595271,Supported Living Framework 2020,01/03/2021,verified (existing data),Supported living contract over £10m - includes housing,"homecare and housing both on homepage (homecare 3, housing 7)"
VOYAGE 1 LIMITED,https://www.voyagecare.com,referrals@voyagecare.com,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",02215899,Supported Living Framework 2020,01/03/2021,verified (existing data),Supported living contract over £10m - includes housing,
Your Life Care Solutions,https://www.yourlifecaresolutions.co.uk/,info@yourlifecaresolutions.co.uk,Supported Living Framework 2020,Essex County Council,Essex County Council,"Essex County Council is the only contracting authority on every notice: CF a7a5f792 (Supported Living Framework 2020, £345m, 1 Mar 2021 - 28 Feb 2025, 80 providers), the FTS 009152-2021 reopening, and the Essex Provider Hub page. None of them names Southend-on-Sea City Council, Thurrock Council, NHS bodies or CCGs/ICBs as users. The wording is 'all new placements made by the Council' and 'for all new referrals of adults into supported living services within Essex'. No evidence was found that Southend, Thurrock or NHS bodies can call off it. The only Southend mention is a supplier address.",07710840,Supported Living Framework 2020,01/03/2021,verified (existing data),Supported living contract over £10m - includes housing,
