company_name,domain,website_url,email,phone,primary_category,sectors,in_network,total_contracts,councils_count,councils_top,regions,tier_hint
First Stop Housing / My Life Semi Independent Project,mylife.uk.net,https://www.mylife.uk.net/,admin@mylife.uk.net,+44 800 622 6382,Emergency accommodation,Emergency accommodation | Emergency housing | Housing,,1,1,London Borough Of Bexley,London,Local
Flexible Support Options,croydon.gov.uk,https://www.croydon.gov.uk/adult-social-care,contact@flexibleoptions.co.uk,+44 191 258 7254,Supported living,Homecare | Housing | Supported accommodation | Supported living,,3,2,South Tyneside Council | Croydon,London | North East,Local
Fortis Care Limited,fortiscare.co.uk,http://www.fortiscare.co.uk/,contact@fortiscare.co.uk,+44 20 8445 8885,Supported living,Homecare | Housing | Supported living,,1,4,London Borough of Barnet Council | In-tend Limited | Hertfordshire County Council | Hertfordshire County Council  - Adult Care Services,East of England | London | National,Regional
Found8Tions Youth Support Services,foundationsyss.co.uk,https://www.foundationsyss.co.uk,info@foundationsyss.co.uk,0208 058 7055,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
Fresh Start Care Services,freshstartcare.com,https://www.freshstartcare.com,info@freshstartcare.com,020 8496 3000,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
Freshstart Care Solutions Ltd,freshstartcaresolutions.com,https://www.freshstartcaresolutions.com/,,,Supported living,Housing | Supported living,,1,1,London Borough of Sutton,London,Local
Gateway Care Services Limited,gatewaycareservice.com,https://www.gatewaycareservice.com/,info@gatewaycareservice.co.uk,+44 20 8320 1234,Supported living,Homecare | Housing | Supported accommodation | Supported living,,4,2,Luton Council | Ealing,East of England | London,Local
Gateway Independent Living,walthamforest.gov.uk,https://www.walthamforest.gov.uk/adults-and-health,asc@walthamforest.gov.uk,020 8496 3000,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
Genesis Housing Association,nhg.org.uk,http://www.nhg.org.uk/,info@nhg.org.uk,+44 20 3815 0000,Supported living,Homecare | Housing | Supported living,,4,2,Suffolk County Council | London Borough of Barnet Council,East of England | London,Regional
Genesis Living,genesis-living.com,https://genesis-living.com/,info@genesisliving.co.uk,+44 7488 848726,Supported living,Community accommodation | Housing | Supported accommodation | Supported living,,1,3,Northamptonshire County Council | Westminster City Council | Warwickshire County Council,East Midlands | London | West Midlands,Regional
Gentle Hands Care Agency Ltd,gentlehandscareagency.co.uk,http://www.gentlehandscareagency.co.uk/,,+44 20 7998 6977,Supported living,Housing | Supported living,,1,1,London Borough of Barnet Council,London,Local
Glenholme Healthcare Limited,glenholme.org.uk,https://www.glenholme.org.uk/holdingham-grange/,reception@glenholme.org.uk,+44 1753 869777,Supported living,Housing | Supported living,,1,2,London Borough of Barnet Council | Cambridgeshire County Council,East of England | London,Regional
Glenman Corporation Ltd,glenman.co.uk,http://glenman.co.uk/,info@glenman.co.uk,+44 20 8996 8058,Supported living,Housing | Supported living,,1,1,Islington Council,London,Local
Go Ahead Homes,goaheadhomes.com,https://goaheadhomes.com,info@goaheadhomes.com,0208 144 8888,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
Grange (Whitefield) Care Services,grangewhitefieldcare.com,http://grangewhitefieldcare.com/,admin@grangewhitefieldcare.com,+44 20 8366 7841,Supported living,Housing | Supported living,,1,1,London Borough of Barnet Council,London,Local
Gray Healthcare Limited,grayhealthcare.com,http://www.grayhealthcare.com/,info@grayhealthcare.com,+44 151 255 2830,Supported living,Homecare | Housing | Supported accommodation | Supported living,,5,4,Luton Council | Ealing | Milton Keynes Council | Gloucestershire County Council,East of England | London | South East | South West,Regional
Green Harvest Capital Consulting Ltd,greenharvestcc.com,http://www.greenharvestcc.com/,admin@greenharvestcc.com,+44 20 3409 4420,Supported living,Community accommodation | Housing | Supported accommodation | Supported living,,3,3,Brighton and Hove City Council | Essex County Council | London Borough of Sutton,East of England | London | South East,Regional
Greenwich Adults and Children Learning Disability Framework,royalgreenwich.gov.uk,https://www.royalgreenwich.gov.uk/info/200244/learning_disabilities,asccentral@royalgreenwich.gov.uk,020 8921 4477,Supported living,Extra care | Home care | Housing | Learning disabilities | Supported living,,1,1,Royal Borough of Greenwich,London,Local
Greenwich Living Options,royalgreenwich.gov.uk,https://www.royalgreenwich.gov.uk/info/200244/learning_disabilities/507/learning_disabilities,asccentral@royalgreenwich.gov.uk,020 8921 4477,Supported living,Adults | Housing | Learning disabilities | Supported living,,1,1,Royal Borough Of Greenwich,London,Local
Greenwich Mental Health High Support Accommodation,royalgreenwich.gov.uk,https://www.royalgreenwich.gov.uk/info/200244/mental_health,asccentral@royalgreenwich.gov.uk,020 8921 4477,Supported accommodation,Adults | Housing | Mental health | Supported accommodation,,1,1,Royal Borough of Greenwich,London,Local
Grove Social Care,grove-socialcare.co.uk,https://www.grove-socialcare.co.uk/,admin@grove-socialcare.co.uk,+44 1733 568444,Supported living,Community accommodation | Housing | Supported accommodation | Supported living,,3,8,Derby City Council | North Northamptonshire Council | Northamptonshire County Council | Nottinghamshire County Council | Peterborough City Council,East Midlands | East of England | London | West Midlands,Regional
Hackney AHI Supported Living Framework,hackney.moderngov.co.uk,https://hackney.moderngov.co.uk/ieDecisionDetails.aspx?Id=8210,adultsocialcare@hackney.gov.uk,020 8356 5000,Supported living,Adults | Housing | Residential care | Supported living,,1,1,London Borough of Hackney,London,Local
Hamletts,hamletts.com,https://www.hamletts.com,info@hamletts.com,020 7791 0044,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
Harrow Mental Health Supported Accommodation Block Contract,harrow.gov.uk,https://www.harrow.gov.uk/adult-social-care,access.team@harrow.gov.uk,020 8901 2680,Supported accommodation,Adults | Housing | Mental health | Supported accommodation,,1,1,Harrow Council,London,Local
Heritage Care Limited,heriitagecareltd.co.uk,http://www.heriitagecareltd.co.uk/,info@heriitagecareltd.co.uk,+44 1905 828116,Supported living,Homecare | Housing | Supported accommodation | Supported living,,2,3,London Borough of Hackney | Norfolk County Council | London Borough of Lewisham,East of England | London,Regional
Hestia Housing and Support,hestia.org,https://www.hestia.org,info@hestia.org,020 7378 3100,Supported living,Community accommodation | Disabilities | Floating support | HIV | Homecare | Housing | Supported accommodation | Supported living,yes,3,6,The Royal Borough of Kingston upon Thames | London Borough of Lewisham | London Borough of Merton | London Borough of Croydon | Royal Borough of Kingston Upon Thames,London,Local
HF TRUST LIMITED,hft.org.uk,https://www.hft.org.uk,hello@hft.org.uk,0117 906 1699,Supported living,Community accommodation | Homecare | Housing | Supported accommodation | Supported living,yes,4,5,Bradford Metropolitan District Council | Sheffield City Council | City of Bradford Metropolitan District Council | Essex County Council | The Royal Borough of Kingston upon Thames,East of England | London | Yorkshire & The Humber,Regional
Hft,hft.org.uk,https://www.hft.org.uk,hello@hft.org.uk,0117 906 1699,Supported living,Community accommodation | Homecare | Housing | Supported accommodation | Supported living,yes,5,6,Cambridgeshire County Council | Calderdale Council | The Royal Borough of Kingston upon Thames | London Borough of Barnet Council | Bristol City Council,East Midlands | East of England | London | South West | Yorkshire & The Humber,Regional
Higher Level Care,higherlevelcare.org,http://www.higherlevelcare.org/,info@higherlevelcare.org,+44 20 8251 0066,Supported living,Housing | Supported living,,1,1,London Borough of Sutton,London,Local
Hillingdon Mind,mindinhillingdon.org.uk,http://mindinhillingdon.org.uk/,mind@hillingdonmind.org.uk,+44 1895 271559,Supported living,Housing | Supported living,,1,2,NHS North West London ICB | London Borough of Hillingdon,London,Local
Hillside Care Services CIC,hillsidecare.co.uk,https://hillsidecare.co.uk,info@hillsidecare.co.uk,0121 554 3909,Supported living,Housing | Supported accommodation | Supported living,,1,1,Ealing,London,Local
Homes for Wandsworth,wandsworth.gov.uk,https://www.wandsworth.gov.uk/housing,housing@wandsworth.gov.uk,020 8871 6000,Supported living,Adults | Housing | Supported living,,1,1,London Borough of Wandsworth,London,Local
Homesdale Supported Living Ltd,homesdalesupportedliving.com,https://www.homesdalesupportedliving.com/,info@homesdalesupportedliving.com,+44 20 8249 2902,Supported living,Homecare | Housing | Supported living,,2,1,London Borough of Havering,London,Local
Hope Superjobs,hopesuperjobs.co.uk,https://hopesuperjobs.co.uk,info@hopesuperjobs.co.uk,020 8514 6611,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
House To Home Lettings,h2hlettings.com,http://www.h2hlettings.com/,info@h2hlettings.com,+44 1322 337070,Emergency accommodation,Emergency accommodation | Emergency housing | Housing,,1,1,London Borough Of Bexley,London,Local
Icube Dalpro Limited (T/A iCare Services Group),icareservicesgroup.co.uk,https://icareservicesgroup.co.uk/contact/,info@icareservicesgroup.co.uk,+44 20 8087 2062,Supported accommodation,Community accommodation | Housing | Supported accommodation,,1,1,London Borough of Havering,London,Local
Independence way Ltd,independenceway.co.uk,http://independenceway.co.uk/,info@independenceway.co.uk,+44 1474 359699,Supported living,Housing | Supported living,,1,1,London Borough of Sutton,London,Local
Inicio Group Ltd,inicio-group.co.uk,http://www.inicio-group.co.uk/,hello@inicio-group.co.uk,+44 161 418 4180,Supported living,Community accommodation | Housing | Supported accommodation | Supported living,,5,7,Kirklees Council | Bolton Council | Derby City Council | Lincolnshire County Council | Stoke-on-Trent City Council,East Midlands | London | North West | West Midlands | Yorkshire & The Humber,Regional
Inspiration Support Services,inspirationss.co.uk,https://www.inspirationss.co.uk,info@inspirationss.co.uk,020 8496 3000,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
Itrust Agency,itrustcareservices.com,https://itrustcareservices.com/,admin@itrustcareservices.com,+44 1582 635047,Supported living,Homecare | Housing | Supported accommodation | Supported living,,2,2,Luton Council | Ealing,East of England | London,Local
Jakaranda Care,jakarandacare.co.uk,https://jakarandacare.co.uk,info@jakarandacare.co.uk,+44 20 3371 9248,Supported living,Community accommodation | Homecare | Housing | Supported accommodation | Supported living,,3,3,Luton Council | Northamptonshire County Council | Ealing,East Midlands | East of England | London,Regional
Jakky Care Group,jakkycaregroup.co.uk,https://www.jakkycaregroup.co.uk,enquiries@jakkycaregroup.co.uk,+44 20 3943 9915,Supported living,Homecare | Housing | Supported accommodation | Supported living,,2,2,Luton Council | Ealing,East of England | London,Local
JEM Support Service,jem.services,https://www.jem.services/,info@jem.services,+44 20 3998 2222,Supported living,Asylum housing | Housing | Supported accommodation | Supported living,,1,2,Tower Hamlets | London Borough of Waltham Forest,London,Local
Jordan Xavier Ltd,jordanxavier.co.uk,http://jordanxavier.co.uk/,info@jordanxavier.co.uk,+44 20 8238 5535,Supported living,Asylum housing | Community accommodation | Homecare | Housing | Supported accommodation | Supported living,,11,17,Leicestershire County Council | Warwickshire County Council | Northamptonshire County Council | Tower Hamlets | Brighton & Hove City Council,East Midlands | East of England | London | South East | West Midlands,Regional
Kaleidoscope Project,kaleidoscope68.org,https://kaleidoscope68.org/,spoc.powys@kaleidoscope68.org,+44 1633 811950,Supported living,Homecare | Housing | Supported accommodation | Supported living,,3,2,The Royal Borough of Kingston upon Thames | Royal Borough of Kingston Upon Thames,London,Local
Kempshire,kempshire.co.uk,http://kempshire.co.uk/,info@kempshire.co.uk,+44 7942 495459,Supported living,Community accommodation | Housing | Supported accommodation | Supported living,,2,3,Bolton Council | Peterborough City Council | Merton,East of England | London | North West,Regional
Key Transitions,westminster.gov.uk,https://www.westminster.gov.uk/health-and-social-care,adultsocialcare@westminster.gov.uk,+44 116 319 2530,Supported living,Asylum housing | Community accommodation | Housing | Supported accommodation | Supported living,,5,8,Northamptonshire County Council | Derby City Council | Cambridgeshire County Council | Peterborough City Council | North Northamptonshire Council,East Midlands | East of England | London | West Midlands,Regional
KEYRING - LIVING SUPPORT NETWORKS,keyring.org,https://www.keyring.org,keyring@keyring.org,020 7249 8749,Supported living,Housing | Supported accommodation | Supported living,yes,4,6,Rotherham Metropolitan Borough Council | Bath and North East Somerset Council | London Borough of Barnet Council | Nhs Humber & North Yorkshire Icb | North East Lincolnshire Council,London | South West | Yorkshire & The Humber,Regional
Kisharon,kisharonschool.org.uk,https://www.kisharonschool.org.uk/,office@kisharonschool.org.uk,+44 20 8455 7483,Supported living,Housing | Supported living,,1,1,London Borough of Barnet Council,London,Local
L&Q Living - SWIFT Payments,lqgroup.org.uk,https://www.lqgroup.org.uk/,regulatoryandlegalcommunications@lqgroup.org.uk,+44 300 456 9998,Supported accommodation,Community accommodation | Housing | Supported accommodation,,1,1,London Borough of Havering,London,Local
Lambeth Adults Supported Accommodation Pathway Framework,lambeth.gov.uk,https://www.lambeth.gov.uk/lambeth-data-hub/supported-living,asc@lambeth.gov.uk,020 7926 1000,Supported accommodation,Complex needs | Dual diagnosis | Housing | Mental health | Supported accommodation | Women services,,1,1,London Borough of Lambeth,London,Local
Lambeth Housing Related Support for High Risk Young People,lambeth.gov.uk,https://www.lambeth.gov.uk/support-care-leavers/housing-independent-living,asc@lambeth.gov.uk,020 7926 1000,Supported accommodation,Care leavers | High risk | Housing | Supported accommodation | Young people,,1,1,London Borough of Lambeth,London,Local
Langdon Community,langdonuk.org,http://langdonuk.org/,info@kisharonlangdon.org.uk,+44 20 8951 3942,Supported living,Housing | Supported living,,1,1,London Borough of Barnet Council,London,Local
Learning Disability Network London (LDN London),ldnlondon.org,https://ldnlondon.org/,hello@ldnlondon.org,,Supported living,Housing | Supported living,,1,1,Islington Council,London,Local
Learning Disability Network London Limited,ldnlondon.org,https://www.ldnlondon.org/find-support/ldn-community-hub/,hello@ldnlondon.org,+44 20 8968 7376,Supported living,Housing | Supported living,,1,2,London Borough of Hammersmith & Fulham | London Borough of Camden,London,Local
Lewisham Nexus Service,everystory.org.uk,https://everystory.org.uk/who-we-are,enquiries@everystory.org.uk,+44 20 8613 9965,Supported living,Housing | Supported accommodation | Supported living,,3,3,London Borough of Lewisham | London Borough of Bromley | Tower Hamlets,London,Local
Lifeways,lifewaystherapycentre.com,http://lifewaystherapycentre.com/,info@lifewaystherapycentre.com,+44 1789 292052,Supported living,Adults | Emergency accommodation | Housing | Learning disabilities | Supported living,,5,4,Kirklees Council | Derbyshire County Council | North East Lincolnshire Council | London Borough of Richmond upon Thames,East Midlands | London | Yorkshire & The Humber,Regional
Lifeways Community Care,lifeways.co.uk,https://www.lifeways.co.uk,LWSreferrals@Lifeways.co.uk,0207 202 6300,Supported living,Homecare | Housing | Supported accommodation | Supported living,yes,23,31,Bradford Metropolitan District Council | South Tyneside Council | Sheffield City Council | The Royal Borough of Kingston upon Thames | City of Bradford Metropolitan District Council,East Midlands | East of England | London | North East | North West | South East | South West | West Midlands | Yorkshire & The Humber,National
Lifeways Supported Independent Living,lifeways.co.uk,https://lifeways.co.uk,info@lifeways.co.uk,0333 321 4881,Supported living,Housing | Supported accommodation | Supported living,,1,1,Ealing,London,Local
Lilibet Court Care,lillibethealthcare.co.uk,https://www.lillibethealthcare.co.uk,info@lillibethealthcare.co.uk,01234 851 119,Supported living,Housing | Supported accommodation | Supported living,,1,1,Ealing,London,Local
Living Ambitions Limited,lifeways.co.uk,https://www.lifeways.co.uk/our-services/residential-care,,+44 20 8647 1271,Supported living,Community accommodation | Homecare | Housing | Supported accommodation | Supported living,,4,7,North East Lincolnshire Council | Essex County Council | Doncaster MBC | Doncaster Council | London Borough of Sutton,East of England | London | North East | Yorkshire & The Humber,Regional
Living Spring Solutions Care & Training,livingspringsolutions.co.uk,https://www.livingspringsolutions.co.uk,info@livingspringsolutions.co.uk,020 3417 0405,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Lewisham,London,Local
Living Waters Services,livingwatersltd.co.uk,https://www.livingwatersltd.co.uk,admin@livingwatersltd.co.uk,024 7518 6190,Supported living,Housing | Supported accommodation | Supported living,,1,2,Westminster City Council | Warwickshire County Council,London | West Midlands,Regional
London Borough of Bromley Extra Care Housing Re-Procurement,bromley.gov.uk,https://www.bromley.gov.uk/extracarehousing,adultcommissioning@bromley.gov.uk,020 8464 3333,Housing,Extra care | Housing | Older people,,1,1,London Borough of Bromley,London,Local
London Borough of Islington Mental Health Accommodation Pathway,democracy.islington.gov.uk,https://democracy.islington.gov.uk/documents/s25987/Mental%20Health%20Accommodation%20Pathway%20Contract%20Award%20Report.pdf,adult.socialservices@islington.gov.uk,020 7527 2000,Supported accommodation,Floating support | Housing | Mental health | Supported accommodation,,1,1,Islington,London,Local
Look Ahead,lookahead.org.uk,https://www.lookahead.org.uk/,getintouch@lookahead.org.uk,+44 1292 266030,Supported living,Community accommodation | Housing | Supported accommodation | Supported living,,1,1,Tower Hamlets,London,Local
Look Ahead Care & Support,lookahead.org.uk,http://www.lookahead.org.uk/,getintouch@lookahead.org.uk,+44 20 7368 4600,Supported living,Care leavers | Community accommodation | Floating support | Homecare | Housing | Learning disabilities | Supported accommodation | Supported living,,5,15,Royal Borough of Kensington and Chelsea | Westminster City Council | Tower Hamlets | London Borough of Hackney | capitalEsourcing,East of England | London | South East,Regional
Look Ahead Housing and Care,lookahead.org.uk,https://www.lookahead.org.uk/,getintouch@lookahead.org.uk,+44 20 7517 0660,Supported living,Asylum housing | Community accommodation | Homecare | Housing | Supported accommodation | Supported living,,7,4,Tower Hamlets | The Royal Borough of Kingston upon Thames | London Borough Of Bexley | Royal Borough of Kingston Upon Thames,London,Local
Lukka Homes,lukkahomes.com,https://lukkahomes.com/,info@lukkahomes.com,,Emergency accommodation,Emergency accommodation | Emergency housing | Housing,,1,1,London Borough of Hackney,London,Local
Luton Friendship Homecarers,lutonfhc.org.uk,http://www.lutonfhc.org.uk/,enquiries@lutonfhc.org.uk,+44 1582 736157,Supported living,Homecare | Housing | Supported accommodation | Supported living,,2,2,Luton Council | Ealing,East of England | London,Local
Mary Seacole Housing Association Ltd,maryseacoleha.com,http://www.maryseacoleha.com/,mail@maryseacoleha.com,+44 1582 415651,Supported living,Emergency accommodation | Emergency housing | Homecare | Housing | Supported accommodation | Supported living,,4,2,Luton Council | Ealing,East of England | London,Local
mcch,snapcharity.org,https://www.snapcharity.org/business-directory/4199/mcch/,,+44 1227 471074,Supported living,Community accommodation | Homecare | Housing | Supported accommodation | Supported living,,3,2,London Borough of Sutton | Northamptonshire County Council,East Midlands | London,Regional
Metropolitan Housing Trust,metropolitan.org.uk,https://www.metropolitan.org.uk,customerservices@metropolitan.org.uk,0300 123 1220,Supported living,Adults | Asylum housing | Community accommodation | Homecare | Housing | Learning disabilities | Supported accommodation | Supported living,yes,5,8,Essex County Council | London Borough of Hammersmith & Fulham | In-tend Limited | Hertfordshire County Council | Hertfordshire County Council  - Adult Care Services,East of England | London | National | Yorkshire & The Humber,Regional
Metropolitan Housing Trust Limited T/A Metropolitan Thames Valle,mtvh.co.uk,http://mtvh.co.uk/,,+44 20 3535 3535,Supported accommodation,Community accommodation | Housing | Supported accommodation,,1,1,London Borough Of Haringey,London,Local
Metropolitan Thames Valley Housing,mtvh.co.uk,https://www.mtvh.co.uk,communications@mtvh.co.uk,0203 535 3535,Supported living,Adults | Housing | Housing association | Supported living,,1,1,London Borough of Richmond upon Thames,London,Local
Midco Care,midco-care.co.uk,http://www.midco-care.co.uk/,info@midco-care.co.uk,+44 1733 530580,Supported living,Asylum housing | Community accommodation | Homecare | Housing | Supported accommodation | Supported living,,23,22,The Royal Borough of Kingston upon Thames | Luton Council | Northamptonshire County Council | Oxfordshire County Council | In-tend Limited,East Midlands | East of England | London | National | South East | West Midlands,Regional
My Life Semi-independent Project Limited,mylife.uk.net,https://www.mylife.uk.net/,admin@mylife.uk.net,,Supported accommodation,Community accommodation | Emergency housing | Housing | Supported accommodation,,1,2,East Sussex County Council | London Borough Of Bexley,London | South East,Regional
Nacro,nacro.org.uk,https://www.nacro.org.uk/,contactus@nacro.org.uk,+44 300 123 1889,Supported living,Bail accommodation | Community accommodation | Emergency accommodation | Housing | Probation accommodation | Supported accommodation | Supported living,,3,4,London Borough of Lewisham | Nottingham City Council | West Berkshire Council | Ministry of Justice,East Midlands | London | National | South East,Regional
New Directions Flexible Social Care Solution,ealing.gov.uk,https://www.ealing.gov.uk,ecirs@ealing.gov.uk,02922 670 540,Supported living,Housing | Supported accommodation | Supported living,,1,1,Ealing,London,Local
New Directions Flexible Social Care Solutions,new-directions.co.uk,https://www.new-directions.co.uk/health-social-care/,enquiries@new-directions.co.uk,+44 1727 602688,Supported living,Community accommodation | Homecare | Housing | Supported accommodation | Supported living,,7,4,The Royal Borough of Kingston upon Thames | Essex County Council | Luton Council | Royal Borough of Kingston Upon Thames,East of England | London,Regional
Newham PDPS Supported Accommodation Framework,newham.gov.uk,https://www.newham.gov.uk/housing/supported-housing,adultsocialcare.commissioning@newham.gov.uk,020 8430 2000,Supported accommodation,Care leavers | Housing | Looked after children | Semi-independent | Supported accommodation,,1,1,London Borough of Newham,London,Local
Newhaven 16 Plus,newhaven16plus.co.uk,https://newhaven16plus.co.uk,info@newhaven16plus.co.uk,020 8504 1000,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
Next Step Care Management,nscm.co.uk,http://www.nscm.co.uk,info@nscm.co.uk,01737 365 060,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
North & East London Care,walthamforest.gov.uk,https://www.walthamforest.gov.uk/adults-and-health,asc@walthamforest.gov.uk,020 8496 3000,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
North Worcestershire Basement Project,basementproject.org,https://www.basementproject.org,info@basementproject.org,01527 832993,Supported living,Housing | Supported accommodation | Supported living,,1,1,Westminster,London,Local
Norwood,norwood.org.uk,https://norwood.org.uk/,info@norwood.org.uk,,Supported living,Housing | Supported living,,1,1,London Borough of Barnet Council,London,Local
Novo Healthcare,novohealthcare.co.uk,http://www.novohealthcare.co.uk/,info@novohealthcare.co.uk,+44 20 8187 7840,Supported living,Homecare | Housing | Supported accommodation | Supported living,,2,2,The Royal Borough of Kingston upon Thames | Royal Borough of Kingston Upon Thames,London,Local
Oakleys Living Limited,oakleyhomegifts.com,http://oakleyhomegifts.com/,info@oakleyhomegifts.com,+44 7969 558273,Supported living,Homecare | Housing | Supported living,,2,1,London Borough of Havering,London,Local
One Housing Group (Lot 4 - Progress Service Low to Medium Suppor,riverside.org.uk,https://www.riverside.org.uk/one-housing-group/,,+44 20 7987 2447,Asylum housing,Asylum housing | Housing,,1,1,London Borough of Camden,London,Local
One Housing Group (Lot 5 - Young Parent High Support Service),onehousing.co.uk,http://www.onehousing.co.uk/,,+44 300 123 9966,Asylum housing,Asylum housing | Housing,,1,1,London Borough of Camden,London,Local
One Housing Group Limited,onehousing.co.uk,http://www.onehousing.co.uk/,,+44 300 123 9966,Supported living,Community accommodation | Housing | Supported accommodation | Supported living,,3,4,London Borough of Hackney | London Borough Of Camden Council | London Borough of Barnet Council | London Borough of Camden,London,Local
Optima,optimahealth.co.uk,http://www.optimahealth.co.uk/,,+44 1327 810797,Supported living,Housing | Supported living,,1,1,London Borough of Barnet Council,London,Local
Origin Housing Ltd,originhousing.org.uk,http://www.originhousing.org.uk/,,+44 300 323 0325,Supported living,Housing | Supported living,,1,1,London Borough of Barnet Council,London,Local
Outlook Care,outlookcare.org.uk,https://www.outlookcare.org.uk/,info@outlookcare.org.uk,+44 1277 633163,Supported living,Homecare | Housing | Supported accommodation | Supported living,,2,2,Southend-On-Sea Borough Council | London Borough of Lewisham,East of England | London,Regional
Outsets Care Services,outsetfostering.co.uk,http://www.outsetfostering.co.uk/,,+44 20 4526 5267,Supported living,Asylum housing | Housing | Supported accommodation | Supported living,,1,1,Tower Hamlets,London,Local
Outward Housing,outward.org.uk,https://www.outward.org.uk/,info@outward.org.uk,+44 20 8980 7101,Supported living,Community accommodation | Homecare | Housing | Supported accommodation | Supported living,,4,2,Tower Hamlets | London Borough of Bromley,London,Local
Outward Housing (Trading as Outward),outward.org.uk,https://www.outward.org.uk/,info@outward.org.uk,+44 20 8980 7101,Supported accommodation,Community accommodation | Housing | Supported accommodation,,1,1,London Borough of Hackney,London,Local
ownlife ltd,ownlife.org.uk,https://www.ownlife.org.uk/,hr@ownlife.org.uk,+44 20 8660 2585,Supported living,Housing | Supported living,,1,1,London Borough of Sutton,London,Local
P & T Care Solutions Ltd,pandtcares4u.uk,http://www.pandtcares4u.uk/,,+44 121 559 8182,Supported living,Homecare | Housing | Supported living,,2,1,London Borough of Havering,London,Local
Pangea Support Services,pangeasupport.com,https://www.pangeasupport.com/,info@pangeasupport.com,+44 7544 777112,Supported living,Asylum housing | Housing | Supported accommodation | Supported living,,1,1,Tower Hamlets,London,Local
Path4You,path4you.co.uk,https://path4you.co.uk,info@path4you.co.uk,0203 633 9939,Supported living,Housing | Supported accommodation | Supported living,,1,2,Westminster City Council | Warwickshire County Council,London | West Midlands,Regional
Pathfinder Care Services,pathfinderscareservices.org,https://www.pathfinderscareservices.org/,,,Supported living,Housing | Supported living,,1,1,London Borough of Sutton,London,Local
PCH Integration Services,pomanda.com,https://pomanda.com/company/11509149/pch-integration-services-ltd,adult.socialcare@merton.gov.uk,01733 555 555,Supported living,Community accommodation | Housing | Supported accommodation | Supported living,,1,2,Peterborough City Council | Merton,East of England | London,Local
Peabody Trust,peabody.org.uk,https://www.peabody.org.uk,supported.housing@peabody.org.uk,0300 123 3456,Supported living,Asylum housing | Community accommodation | Homecare | Housing | Supported accommodation | Supported living,yes,5,5,Essex County Council | Tower Hamlets | Islington Council | London Borough Of Haringey | London Borough of Lewisham,East of England | London,Regional
Peter Bedford Housing Association,peterbedford.org.uk,https://www.peterbedford.org.uk/,admin.email@peterbedford.org.uk,+44 20 3815 4100,Supported accommodation,Community accommodation | Housing | Supported accommodation,,1,1,Islington,London,Local
Phi Capital Investments Ltd,phicapital.in,https://phicapital.in/,phi@phicapital.in,+44 20 7889 3080,Supported living,Emergency accommodation | Emergency housing | Housing | Supported accommodation | Supported living,,1,1,Haringey,London,Local
Place of Progress,walthamforest.gov.uk,https://www.walthamforest.gov.uk,bianca@placeofprogress.org,0203 488 4089,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Waltham Forest,London,Local
Plus,plus.net,https://www.plus.net/,,+44 1290 422754,Supported living,Housing | Supported living,,1,1,London Borough of Lewisham,London,Local
Pmse London,pmselondonltd.com,https://pmselondonltd.com,info@pmselondonltd.com,01895 437 760,Supported living,Housing | Supported accommodation | Supported living,,1,1,London Borough of Hillingdon,London,Local
Porchlight,porchlight.org.uk,http://www.porchlight.org.uk/,recruitment@porchlight.org.uk,+44 1227 760078,Supported accommodation,Community accommodation | Emergency accommodation | Emergency housing | Housing | Supported accommodation,,2,2,London Borough Of Bexley | Medway Council,London | South East,Regional
Potensial,potens-uk.com,https://potens-uk.com/,info@potens-uk.com,+44 1287 201036,Supported living,Homecare | Housing | Supported accommodation | Supported living,,2,2,Redcar & Cleveland Borough Council | Croydon,London | North East,Local
Preferred Living,walthamforest.gov.uk,https://www.walthamforest.gov.uk/adults-and-health,enquiries@preferhomes.co.uk,+44 20 3286 4815,Supported living,Housing | Supported accommodation | Supported living,,1,3,London Borough of Sutton | Nottingham City Council | London Borough of Waltham Forest,East Midlands | London,Regional
Primrose Healthcare Solutions Services Limited,primrosehealthcaresolutions.co.uk,https://primrosehealthcaresolutions.co.uk/,info@primrosehealthcaresolutions.co.uk,+44 20 3432 3039,Supported living,Homecare | Housing | Supported living,,2,1,London Borough of Havering,London,Local
Professional Supported Living,westminster.gov.uk,https://www.westminster.gov.uk/health-and-social-care,adultsocialcare@westminster.gov.uk,020 7641 6000,Supported living,Housing | Supported accommodation | Supported living,,1,2,Westminster City Council | Warwickshire County Council,London | West Midlands,Regional
