name,current_website,current_phone,current_email,current_address,contracts,scope,status,step1_url_owner,step2_real_url,step3_services,step4_email,step4_phone,step4_contact,verdict,notes
Consummate Care Ltd,https://www.consummatecare.org/,+44 333 577 8707,info@consummatecare.org,,2,Regional,pending,,,,,,,,
Cornerstone Care Management Ltd,https://cornerstoneprofessionalcare.co.uk/,+44 121 243 3780,info@cornerstoneprofessionalcare.co.uk,,1,Local,pending,,,,,,,,
Cranstoun,https://cranstoun.org/,+44 300 303 8200,info@cranstoun.org.uk,,2,Local,pending,,,,,,,,
Crystal Care Supported Living Limited,https://crystalcaresolutions.co.uk/,+44 1782 777511,info@crystalcaresolutions.co.uk,,1,Local,pending,,,,,,,,
Delight Supported Living Ltd,https://www.delightsupportedliving.co.uk/,+44 1462 684757,,,1,Local,pending,,,,,,,,
Detail Personnel Care,http://detailpersonnel.com/,+44 1727 220323,info@detailpersonnel.com,,1,Local,pending,,,,,,,,
Dkm Healthcare Limited,http://www.dkmhealthcare.com/,+44 115 964 8289,info@dkmhealthcare.com,,1,Local,pending,,,,,,,,
Daret healthcare,http://www.darethealthcare.co.uk/,+44 20 8676 5678,dapo.habeeb@darethealthcare.co.uk,,2,Local,pending,,,,,,,,
Daystar Care Services Ltd,https://daystarcare.co.uk/,+44 7717 362504,info@daystarcare.co.uk,,3,Local,pending,,,,,,,,
Delphinus Healthcare,https://www.delphinushealthcare.com,020 8547 5005,info@delphinushealthcare.com,,2,Local,pending,,,,,,,,
Dementia Care,https://www.memorylanecare.co.uk/,+44 113 345 3378,amanda@memorylanecare.co.uk,,1,Local,pending,,,,,,,,
Dependable Healthcare,http://www.dependablehomecareservices.co.uk/,+44 7917 958676,,,1,Local,pending,,,,,,,,
Derventio Housing Trust Cic,http://www.derventiohousing.com/,+44 1332 292776,info@derventiohousing.com,,2,Local,pending,,,,,,,,
Destiny International Care,http://destinycare.co.uk/contact-2/,+44 24 7663 3770,info@destinycare.co.uk,,3,Regional,pending,,,,,,,,
Diamond Unique Care Limited,http://www.diamond-uniquecare.com/,+44 1279 303419,info@diamond-uniquecare.com,,1,Local,pending,,,,,,,,
Divine Care And Services Limited,http://www.divinecareservices.co.uk/,+44 20 8533 7711,info@divinecareservices.co.uk,,2,Regional,pending,,,,,,,,
Dolphin Homes Limited,https://dolphinhomes.co.uk/,+44 23 9247 5219,enquiries@dolphinhomes.co.uk,,3,Local,pending,,,,,,,,
Dwell-in group of companies,http://dwelldevelopments.co.uk/,+44 161 832 3280,info@dwelldevelopments.co.uk,,2,Local,pending,,,,,,,,
Ellie Sunrise Healthcare Ltd,https://www.elliesunrisehealthcare.com/,+44 1332 477830,enquiries@elliesunrisehealthcare.com,,1,Local,pending,,,,,,,,
EMH Care and Support Limited,http://www.emhcareandsupport.org.uk/,+44 1246 599999,info@emhcareandsupport.org.uk,,3,Regional,pending,,,,,,,,
ENS Care and Support,http://ens-care.co.uk/,+44 1702 361405,info@ens-care.co.uk,,1,Local,pending,,,,,,,,
Essex Cares Limited,http://www.ecl.org/?utm_source=seax+google+business+listing&utm_medium=serp&utm_campaign=ecl+brand,+44 333 013 5438,ECL.ContactCentre@essexcares.org,,1,Local,pending,,,,,,,,
East Cheshire Housing Consortium Limited,https://www.echc.org.uk/,+44 1260 298157,info@echc.org.uk,,1,Local,pending,,,,,,,,
East Kent Mencap,https://www.eastkentmencap.co.uk/,+44 1843 808964,lynda.salisbury@eastkentmencap.co.uk,,1,Local,pending,,,,,,,,
East Living,https://www.getliving.com/our-neighbourhoods/east-village/,+44 808 164 4744,,,1,Local,pending,,,,,,,,
Eastlea Care Plus,http://www.eastlea.newham.sch.uk/,+44 20 7540 0400,info@eastlea.ncltrust.net,,2,Regional,pending,,,,,,,,
Eden Country Care Limited,http://www.edencountrycare.co.uk/,+44 1768 865594,colette@edencountrycare.co.uk,,1,Local,pending,,,,,,,,
Elan Care Whitethorn Limited,https://elan.care/,+44 1443 691724,,,1,Local,pending,,,,,,,,
Elysium Supported Living Limited,https://www.elysiumhealthcare.co.uk/locations/1-lichfield-lane/,+44 20 8867 2715,,,1,Local,pending,,,,,,,,
Emezzions Limited,http://www.emezzions.com/,+44 330 330 3283,,,2,Local,pending,,,,,,,,
Emmaculate Care Services Limited,http://www.emmaculatecareservices.co.uk/,+44 1757 335158,info@emmaculatecareservices.co.uk,,2,Regional,pending,,,,,,,,
Empathy View Healthcare Services Limited,http://www.empathyview.co.uk/,+44 7984 152870,info@empathyview.co.uk,,2,Local,pending,,,,,,,,
Empower Support Services,https://www.empoweringsupportservices.com/,+44 7958 716390,amie@empoweringsupportservices.com,,1,Local,pending,,,,,,,,
Engage Care Services,https://engagecareservices.co.uk/,+44 333 577 1442,info@engagecareservices.co.uk,,1,Local,pending,,,,,,,,
Eothen Homes,http://www.eothenhomes.org.uk/,+44 191 213 0707,enquiries@eothenhomes.org.uk,,1,Local,pending,,,,,,,,
Essential Futures (Eden Futures),http://www.edenfutures.org/,+44 115 960 3264,info@edenfutures.org,,3,Local,pending,,,,,,,,
Essential Futures Ltd (trading as Eden Futures),https://edenfutures.org/,+44 1472 690807,info@edenfutures.org,,1,Local,pending,,,,,,,,
Excellence Care Ltd,http://excellence-care.co.uk/,+44 1268 988500,info@excellence-care.co.uk,,1,Local,pending,,,,,,,,
Fembistem Ltd,http://www.fembistem.com/,+44 1524 722067,contact@fembistem.com,,2,Local,pending,,,,,,,,
Focal Care Ltd,http://www.carefocal.co.uk/,+44 20 8320 1219,info@carefocal.co.uk,,1,Local,pending,,,,,,,,
Focus Care Services Limited T/a Radis Community Care,https://www.radis.co.uk/live-in-service/,+44 330 100 8199,enquiries@radis.co.uk,,2,Local,pending,,,,,,,,
Fusco Browne Healthcare Limited,http://www.fuscobrownehealthcare.co.uk/,+44 114 275 7272,admin@fuscobrownehealthcare.co.uk,,2,Local,pending,,,,,,,,
Family Action,https://www.family-action.org.uk/,+44 20 7254 6251,info@family-action.org.uk,,1,Local,pending,,,,,,,,
Family Care Trust,https://www.familycaretrust.co.uk/,+44 121 770 1578,enquiries@familycaretrust.co.uk,,3,Local,pending,,,,,,,,
Father Hudson's Society,http://www.fatherhudsons.org.uk/,+44 1675 434000,enquiries@fatherhudsons.org.uk,,3,Local,pending,,,,,,,,
Fecund Care Providers Ltd,http://www.fecundcare.com/,+44 7450 453144,info@fecundcare.com,,1,Local,pending,,,,,,,,
First Care (GB Ltd),http://www.firstcaregb.co.uk/,+44 24 7509 2400,,,1,Local,pending,,,,,,,,
First Option Healthcare Ltd,http://firstoptionhc.com/,+44 333 577 0305,info@firstoptionhc.com,,1,Local,pending,,,,,,,,
Forget Me Not Caring Limited,https://forgetmenotcaring.co.uk/,+44 1702 545111,office@forgetmenotcaring.co.uk,,1,Local,pending,,,,,,,,
Frantec Limited,https://frantec-care.co.uk/,+44 1473 604464,info@frantec.co.uk,,1,Local,pending,,,,,,,,
Fredas Care Ltd,http://www.fredasdaycentre.com/,+44 1691 238484,,,2,Local,pending,,,,,,,,
Freedom Support Solutions LTD,http://www.freedomsupport.co.uk/,+44 1858 463546,office@freedomsupport.co.uk,,2,Regional,pending,,,,,,,,
Friendly Support Services Limited,https://friendlysupport.co.uk/,+44 1604 720699,info@friendlysupport.co.uk,,2,Regional,pending,,,,,,,,
Frontier Support,http://www.frontiersupport.co.uk/,+44 20 8603 7230,enquiry@frontiersupport.co.uk,,1,Local,pending,,,,,,,,
Fullum Care UK,https://www.careuk.com/care-homes/farm-lane-fulham?utm_source=Organic&utm_medium=GMB&utm_campaign=Farm-Lane,+44 20 3504 4132,Press.Office@careuk.com,,1,Local,pending,,,,,,,,
Fusion Fostering Limited,https://fusionfostering.com/,+44 330 123 9355,info@fusionfostering.com,,4,Regional,pending,,,,,,,,
Future Directions Community Interest Company,https://futuredirectionscic.co.uk/,,info@futuredirectionscic.co.uk,,1,Local,pending,,,,,,,,
Global Support and Care Ltd,https://globalsupportandcare.co.uk/contact-us/,+44 333 222 5322,,,1,Local,pending,,,,,,,,
Grace Living Supported Homes Pvt Ltd,https://graceagecare.co.uk/,+44 1206 266758,enquiries@graceagecare.co.uk,,1,Local,pending,,,,,,,,
Greensquareaccord Limited,https://www.greensquareaccord.co.uk/,+44 300 111 7000,info@greensquareaccord.co.uk,,2,Local,pending,,,,,,,,
Gentoo Group,https://www.gentoogroup.com/,+44 191 525 5000,,,1,Local,pending,,,,,,,,
Gilani Enterprises Ltd.,https://gilanimobility.com/,+44 1992 446316,maildesk@gillaniandco.co.uk,,1,Local,pending,,,,,,,,
Goodwin Development Trust,http://www.goodwintrust.org/,01482587550,info@goodwintrust.org,,1,Local,pending,,,,,,,,
Gracefilled Care Service,https://gracefilledcareservice.com/about-us/,+44 7395 740205,admin@gracefilledcareservice.com,,1,Local,pending,,,,,,,,
Great Future Support Ltd,https://greatfuturesupport.co.uk/family-contact-services/,+44 1268 931919,admin@greatfuturesupport.co.uk,,2,Regional,pending,,,,,,,,
Great Places Housing Association,http://www.greatplaces.org.uk/,+44 300 123 1966,customerhub@greatplaces.org.uk,,4,Local,pending,,,,,,,,
Great Prospects care ltd,http://www.greatprospectscare.co.uk/,+44 1227 788847,info@greatprospectscare.co.uk,,1,Local,pending,,,,,,,,
Grove Care Partnership Limited,https://allegracare.co.uk/grove-care,+44 7306 518777,olivetreehouse@allegracare.co.uk,,2,Regional,pending,,,,,,,,
HCL (Holistic Care) Ltd,http://hclservices.co.uk/,+44 7939 461684,info@hclservices.co.uk,,1,Local,pending,,,,,,,,
HHFC Healthcare Limited,https://hfhchealthcare.com/,+44 1522 716525,,,1,Local,pending,,,,,,,,
"Housing and Support Solutions Limited, T/a Eden Futures",http://www.edenfutures.org/,+44 330 024 0039,info@edenfutures.org,,2,Local,pending,,,,,,,,
Hallam24 Healthcare Ltd,http://hallam24healthcare.co.uk/,+44 114 349 4545,info@hallam24healthcare.co.uk,,1,Local,pending,,,,,,,,
Harriston Homes,https://harristonhomes.com/,+44 16973 46259,admin@harristonhomes.com,,1,Local,pending,,,,,,,,
Havebury Housing Partnership,https://havebury.com/,+44 300 330 0900,repairs@havebury.com,,1,Local,pending,,,,,,,,
Headway Housing,https://www.headway.org.uk/branches/bradford.aspx,+44 7856 076866,enquiries@headway.org.uk,,3,Local,pending,,,,,,,,
Healthcare Access Ltd,http://www.healthcareaccessltd.co.uk/,+44 7746 895715,,,1,Local,pending,,,,,,,,
Heantun Housing Association Limited,https://www.heantun.co.uk/,01902 571100,janet.humphries@heantun.co.uk,,1,Local,pending,,,,,,,,
Heathcotes Group,https://www.heathcotes.net/,01246 252 575,admin@heathcotes.net,,4,Regional,pending,,,,,,,,
Heritage Care,http://www.heriitagecareltd.co.uk/,+44 1905 828116,info@heriitagecareltd.co.uk,,4,Regional,pending,,,,,,,,
Higher Height Care,https://www.higherheightcare.co.uk/,+44 7761 132220,info@higherheightcare.co.uk,,1,Local,pending,,,,,,,,
Highlea Care Ltd,https://nationalcaregroup.com/service//highlea-care-shildon/,+44 1388 775764,info@nationalcaregroup.com,,1,Local,pending,,,,,,,,
Hillside Care Services Community Interest Company (CIC),https://hillsidecare.co.uk/,+44 330 165 8906,admin@hillsidecare.co.uk,,1,Local,pending,,,,,,,,
Hillside Home,http://hillsidehouseelgol.com/,+44 7743 424913,hillsidehouse.elgol@gmail.com,,2,Regional,pending,,,,,,,,
Homes Plus Care,https://www.homespluscare.co.uk/,+44 1206 587070,info@homespluscare.co.uk,,1,Local,pending,,,,,,,,
Homesdale Supported Living Ltd,https://www.homesdalesupportedliving.com/,+44 20 8249 2902,info@homesdalesupportedliving.com,,2,Local,pending,,,,,,,,
Hope Health Kare Limited,http://www.hopecaresupport.co.uk/,+44 1438 900115,admin@hopecaresupport.co.uk,,2,Local,pending,,,,,,,,
Housing and Support Solutions (HaSS) trading as Eden Futures,http://supportedindependence.co.uk/,+44 117 924 0844,,,1,Local,pending,,,,,,,,
Humbercare,https://www.humbercare.org.uk/,+44 1482 586633,info@humbercare.org.uk,,3,Local,pending,,,,,,,,
I Care Solutions,https://icaresolutionsnw.co.uk/,+44 1988 402003,info@crossroads-newtonstewart.co.uk,,1,Local,pending,,,,,,,,
Icrit Healthcare Ltd,https://www.icrithealthcare.co.uk/,+44 1204 325013,,,1,Local,pending,,,,,,,,
IECC (Independent Excel Care Consortium) Ltd,http://iecc-care.co.uk/,+44 1206 793630,info@iecc-care.co.uk,,1,Local,pending,,,,,,,,
Infinitelife Group Ltd,https://www.infinitelifegroup.co.uk/,+44 330 113 8884,info@infinitelifegroup.co.uk,,1,Local,pending,,,,,,,,
Into Care Limited,https://intocareltd.co.uk/,+44 7957 261604,hello@intocareltd.co.uk,,1,Local,pending,,,,,,,,
Itrust Agency,https://itrustcareservices.com,01582 522302,info@itrustcareservices.com,,2,Local,pending,,,,,,,,
Icons Group Ltd,http://iconsgrouppharmaceutical.com/,+44 7478 978274,info@iconsgrouppharmaceutical.com,,1,Local,pending,,,,,,,,
Inclusion Housing CIC,https://inclusionhousing.org.uk/,+44 1904 675207,,,1,Local,pending,,,,,,,,
Incommunities,http://www.incommunities.co.uk/,+44 330 175 9540,enquiry@incommunities.co.uk,,1,Local,pending,,,,,,,,
Independence Support,http://www.independent-support.co.uk/,+44 1782 437790,info@independent-support.co.uk,,3,Regional,pending,,,,,,,,
Indie 16 Ltd,https://indie16.org/,,info@indie16.org,,2,Local,pending,,,,,,,,
Inspire Homes LS8,http://www.inspired-builds.co.uk/,+44 113 271 5000,info@inspired-builds.co.uk,,1,Local,pending,,,,,,,,
Intercare Services Direct Ltd,http://www.intercare.org.uk/,+44 116 269 5925,,,1,Local,pending,,,,,,,,
Intrust Care Ltd,http://intrustcare.co.uk/,+44 1908 380600,,,2,Regional,pending,,,,,,,,
Ipswich Housing Action Group,https://www.ihag.co.uk/,+44 1473 213102,ihag@ihag.co.uk,,1,Local,pending,,,,,,,,
Isabella's Homes Ltd,http://www.cotswoldhomes.co.uk/,+44 1454 335930,reception@cotswoldhomes.co.uk,,1,Local,pending,,,,,,,,
Js Supported Living Services Ltd,https://www.jsdcare.co.uk/,+44 7894 100661,info@jsdcare.co.uk,,1,Local,pending,,,,,,,,
Jakky Care Group,https://www.jakkycaregroup.co.uk,07546 334450,enquiries@jakkycaregroup.co.uk,,2,Local,pending,,,,,,,,
Jigsaw Recovery Project CIC,https://jigsaw-recovery-project.org/,+44 191 605 2568,admin@jigsaw-recovery-project.org,,2,Local,pending,,,,,,,,
Julian Support,http://www.juliansupport.org/,+44 7909 256214,info@juliansupport.org,,1,Local,pending,,,,,,,,
Juventa4care ltd,https://www.juventa4care.co.uk/,+44 114 324 1260,admin@juventa4care.co.uk,,1,Local,pending,,,,,,,,
"K & K Ambler, T/a Amblerway Support Services",https://www.amblerway.co.uk/,+44 7722 004337,,,2,Local,pending,,,,,,,,
Karva Care Services Limited,http://www.karvacare.co.uk/,+44 1452 345665,care@karvacare.co.uk,,1,Local,pending,,,,,,,,
Kempshire,https://kempshire.co.uk,01480 411 100,info@kempshire.co.uk,,3,Local,pending,,,,,,,,
KPR Care Services ltd,http://kpr.global/,+44 20 8542 2333,,,1,Local,pending,,,,,,,,
Kettonby Care Limited,http://www.kettonbycare.com/,+44 1536 312820,,,2,Regional,pending,,,,,,,,
Key 2 Care Limited t/a Derbyshire Care Services,http://www.key2care.co.uk/,+44 1782 481999,info@key2care.co.uk,,1,Local,pending,,,,,,,,
Keychange Charity,https://www.keychange.org.uk/,+44 20 7633 0533,accounts@keychange.org.uk,,1,Local,pending,,,,,,,,
Keyhouse,https://www.key.org.uk/,,,,1,Local,pending,,,,,,,,
Keys Supported Accommodation,https://www.keyschildren.co.uk/support/supported-accommodation/,+44 1803 616324,,,2,Local,pending,,,,,,,,
Kingdom Youth Services,http://kingdomyouthservices.info/,+44 1793 376176,contact@kingdomyouthservices.info,,1,Local,pending,,,,,,,,
Kingfield Supported Living Ltd,http://www.kingfieldsupportedliving.co.uk/,+44 114 258 7557,,,1,Local,pending,,,,,,,,
Kingswood Care Services Limited,https://www.kingswoodcare.co.uk/,+44 1268 441096,,,1,Local,pending,,,,,,,,
Kisimul Group Ltd,https://www.kisimul.co.uk/,,enquiries@kisimul.co.uk,,2,Local,pending,,,,,,,,
L & Q Living Limited,https://www.lqgroup.org.uk/your-home/landq-living,+44 20 8189 7546,regulatoryandlegalcommunications@lqgroup.org.uk,,2,Local,pending,,,,,,,,
LCS Partnerships Limited,https://www.partnershipcare.co.uk/,+44 333 444 9900,,,5,Regional,pending,,,,,,,,
Leaving Care Solutions Limited,http://www.leavingcaresolutions.org/,+44 333 444 9900,,,5,Regional,pending,,,,,,,,
LG Caring,https://www.lgcaring.com/,,info@lgcaring.com,,2,Local,pending,,,,,,,,
LLyon Health,http://www.llyonhealth.com/,,info@llyonhealth.com,,1,Local,pending,,,,,,,,
Lordgrace Delight Healthcare Limited,http://lordgraceltd.co.uk/,+44 20 8595 9110,info@lordgraceltd.co.uk,,1,Local,pending,,,,,,,,
Love in Care Limited,https://loveincareuk.co.uk/,+44 345 163 0077,,,2,Local,pending,,,,,,,,
Lynx Care (uk) Ltd,https://lynxsupportservices.co.uk/contact-us/,+44 114 243 1624,,,1,Local,pending,,,,,,,,
Leading Lives Limited,https://leadinglives.org.uk/Stowmarket/,+44 1473 406777,recruitment@leadinglives.org.uk,,1,Local,pending,,,,,,,,
Leeds Housing Concern,https://leedscs.trixonline.co.uk/,+44 113 222 4412,info@turninglivesaround.co.uk,,2,Local,pending,,,,,,,,
Legacy Supported Living Ltd.,https://www.careservices.org.uk/legacy-supported-living-kettering,,webmaster@careservices.org.uk,,2,Regional,pending,,,,,,,,
Liberty Lodge Ltd,https://www.libertylodge.me/,,support@libertylodge.me,,1,Local,pending,,,,,,,,
Liberty Support Services,https://www.libertysupportservices.co.uk/,+44 1902 509330,,,2,Regional,pending,,,,,,,,
Life Care Plus Limited,http://www.lifecareplusltd.co.uk/,+44 20 3002 7898,info@lifecareplusltd.co.uk,,1,Local,pending,,,,,,,,
Lifeways Community Support,https://www.lifeways.co.uk/,+44 1422 380022,,,2,Local,pending,,,,,,,,
Lillibet Court Care UK Ltd,https://www.lillibethealthcare.co.uk/,+44 1234 212282,,,1,Local,pending,,,,,,,,
Lily of the Valley Care Ltd,https://www.lilyofthevalleycare.co.uk/,+44 1332 470911,info@lilyofthevalleycare.co.uk,,1,Local,pending,,,,,,,,
Limesdale Ltd,https://www.limesdale.com/,,info@limesdale.com,,1,Local,pending,,,,,,,,
Lincolns Care,http://lincolns-care.co.uk/,+44 1733 701276,info@lincolns-care.co.uk,,10,Regional,pending,,,,,,,,
Line Of Sight Care Limited,https://www.lineofsightcare.co.uk/,+44 1234 910030,info@lineofsightcare.co.uk,,1,Local,pending,,,,,,,,
Live n Care,https://www.liveincarejobs.co.uk/,+44 20 7043 1823,admin@liveincarejobs.co.uk,,2,Regional,pending,,,,,,,,
Living Hope Healthcare Ltd,https://www.livinghopehealthcareltd.co.uk/,+44 7763 704852,,,1,Local,pending,,,,,,,,
Local Solutions,http://www.localsolutions.org.uk/,+44 151 709 0990,info@localsolutions.org.uk,,2,Local,pending,,,,,,,,
Lorablooms Care Services Limited,https://www.bloomscare.uk/,+44 20 8595 2179,admin@bloomscare.uk,,1,Local,pending,,,,,,,,
Lumsden Living Ltd,https://www.northamptonshirelearningdisability.org/somewhere-to-live/a-home-of-your-own/,+44 1604 635142,,,2,Regional,pending,,,,,,,,
Luton Friendship Homecarers,http://www.lutonfhc.org.uk/,+44 1582 736157,enquiries@lutonfhc.org.uk,,2,Local,pending,,,,,,,,
MCSE Ltd,http://www.midcareservices.com/,+44 1384 380531,info@midcareservices.com,,3,Local,pending,,,,,,,,
Mk Care Services Limited,http://mkcareservices.co.uk/,+44 113 834 6703,info@mkcareservices.co.uk,,2,Local,pending,,,,,,,,
My Horizon Care Ltd,https://www.myhorizoncare.co.uk/,+44 330 124 7323,enquiry@myhorizoncare.co.uk,,2,Local,pending,,,,,,,,
Maison Care Limited,http://www.maisoncare.co.uk/,+44 1206 911670,info@maisoncare.co.uk,,1,Local,pending,,,,,,,,
Majestic Healthcare Ltd,http://www.majestichealthcareltd.co.uk/,+44 1902 283024,,,2,Regional,pending,,,,,,,,
Malindi Care Services Ltd,http://www.malindicare.com/,+44 20 8514 3450,info@malindicare.com,,2,Local,pending,,,,,,,,
Mango House Care Ltd,http://mangohomes.co.uk/,,,,2,Regional,pending,,,,,,,,
Marbleside Care,https://www.marblesidecare.co.uk/,+44 1843 292616,contact-us@marblesidecare.co.uk,,1,Local,pending,,,,,,,,
Maria Mallaband Care Group (MMCG) & Countrywide,https://www.mmcgcarehomes.co.uk/,+44 113 238 2690,,,1,Local,pending,,,,,,,,
Marrissa care,https://www.maracare.co.uk/,+44 7831 981558,,,1,Local,pending,,,,,,,,
Mary Ruth Care Services Limited,https://maryruthcareservices.co.uk/,+44 114 258 1983,contact@maryruthcareservices.co.uk,,1,Local,pending,,,,,,,,
Maybury Court,http://www.mayburycourtresidentialhome.co.uk/,+44 1482 704629,,,1,Local,pending,,,,,,,,
Melm Care Solutions Limited,https://melmcare.co.uk/index.php/en/about,+44 116 276 5935,info@melmcare.co.uk,,2,Local,pending,,,,,,,,
Mencap,https://www.mencap.org.uk/northern-ireland,+44 28 9069 1351,infoni@mencap.org.uk,,2,Regional,pending,,,,,,,,
Mencap in Kirklees,https://mencapinkirklees.org.uk/,+44 1484 340811,info@mencapinkirklees.org.uk,,1,Local,pending,,,,,,,,
Mentaur Community Support Limited,http://www.mcs-services.co.uk/,+44 1604 644941,,,2,Regional,pending,,,,,,,,
Mentaur Ltd,http://www.mentaur.co.uk/,+44 1604 717249,,,2,Regional,pending,,,,,,,,
Merit Care Ltd,http://www.meritcare.co.uk/,+44 1242 309040,info@meritcare.co.uk,,1,Local,pending,,,,,,,,
Midland Mencap,https://midlandmencap.org.uk/,+44 121 442 2944,info@midlandmencap.org.uk,,1,Local,pending,,,,,,,,
Midwaycare Group,https://www.midwaycaregroup.co.uk/,+44 121 706 9902,,,2,Local,pending,,,,,,,,
Milestones Trust,https://www.milestonestrust.org.uk/,+44 117 970 9300,info@milestonestrust.org.uk,,1,Local,pending,,,,,,,,
Mofor Care,http://www.moforsolutions.co.uk/,+44 24 7666 2800,,,2,Regional,pending,,,,,,,,
Moniks Care Services Limited,http://www.mccareservices.com/,+44 1322 921921,Info@mokscare.co.uk,,1,Local,pending,,,,,,,,
Moving On Care Management Ltd,https://www.movingonltd.com/,,info@movingonltd.com,,3,Regional,pending,,,,,,,,
Mower's Ark CIC,https://mowersarkcic.co.uk/,,directors@mowersarkcic.co.uk,,2,Regional,pending,,,,,,,,
Naid Care Limited,https://naidcare.co.uk/new/,,,,1,Local,pending,,,,,,,,
Naid Project,http://naid.org.uk/,+44 70 5036 7361,info@naid.org.uk,,5,Regional,pending,,,,,,,,
New Horizons Community Care Limited,http://www.newhorizoncare.co.uk/,+44 20 3602 0450,info@newhorizoncare.co.uk,,2,Local,pending,,,,,,,,
Nsf Health Ltd,http://nsfhealth.co.uk/,+44 1242 317963,admin@nsfhealth.co.uk,,1,Local,pending,,,,,,,,
NSI,https://www.nsinails.co.uk/courses.html,+44 800 881 8469,customerservice@nsinails.co.uk,,1,Local,pending,,,,,,,,
New Horizons Care,http://www.newhorizonscare.co.uk/,+44 1536 762332,INFO@NEWHORIZONSCARE.CO.UK,,2,Regional,pending,,,,,,,,
New Horizons trust (South Yorkshire) ltd,http://www.newhorizonsacademytrust.co.uk/,+44 114 290 3627,down2earthaccy@outlook.com,,1,Local,pending,,,,,,,,
New Key Support,http://www.newkeysupport.com/,+44 191 366 1366,info@newkeysupport.com,,1,Local,pending,,,,,,,,
Newmarket Open Door,https://newmarketopendoor.org.uk/,+44 1638 660900,office@newmarketopendoor.org.uk,,1,Local,pending,,,,,,,,
Nexus Support Ltd,https://nationalcaregroup.com/service//nexus-wickford/,+44 345 519 6088,info@nationalcaregroup.com,,1,Local,pending,,,,,,,,
Northamptonshire Country Centre,https://www.thecountrycentre.org/,+44 1327 860906,,,2,Regional,pending,,,,,,,,
Northants Community Care Ltd,https://northantscommunitycare.co.uk/,+44 1933 223799,info@northantscommunitycare.co.uk,,2,Regional,pending,,,,,,,,
Nurtrio Ltd,http://nurtrio.co.uk/,+44 1472 472105,hello@nurtrio.co.uk,,1,Local,pending,,,,,,,,
Nylah Homes Limited,http://www.nevaehhomes.co.uk/,+44 7712 464929,info@nevaehhomes.co.uk,,2,Local,pending,,,,,,,,
Oasis Aquila Housing Ltd,http://www.oasiscommunityhousing.org/,+44 191 477 3535,info@oasiscommunityhousing.org,,2,Local,pending,,,,,,,,
Optimum Healthcare Limited,http://optimumhealthcareuk.co.uk/,+44 7799 140511,,,1,Local,pending,,,,,,,,
Oaklands Support Limited,https://www.swantoncare.com/branch/location-oaklands/,+44 1332 530086,info@swantoncare.com,,1,Local,pending,,,,,,,,
Oakleys Living Limited,http://oakleyhomegifts.com/,+44 7969 558273,info@oakleyhomegifts.com,,1,Local,pending,,,,,,,,
Onduty24 Ltd,https://onduty24.co.uk/,+44 116 276 4261,info@onduty24.co.uk,,2,Regional,pending,,,,,,,,
One YMCA,https://oneymca.org/,01923353600,admin@oneymca.org,,2,Local,pending,,,,,,,,
Orwell Housing Association Limited,https://www.orwell-housing.co.uk/,+44 345 601 0030,info@orwell-housing.co.uk,,2,Local,pending,,,,,,,,
Outlook Care,https://www.outlookcare.org.uk/,+44 1277 633163,info@outlookcare.org.uk,,2,Regional,pending,,,,,,,,
P & T Care Solutions Ltd,http://www.pandtcares4u.uk/,+44 121 559 8182,,,1,Local,pending,,,,,,,,
P T Care Uk Ltd,https://www.careuk.com/,+44 114 553 9780,info@ukpatientcare.co.uk,,1,Local,pending,,,,,,,,
P.G.S Healthcare Limited,http://www.gphealthcareltd.com/,+44 1670 714400,info@gphealthcareltd.com,,1,Local,pending,,,,,,,,
PBS4,https://pbs4.org.uk/,+44 23 8098 7462,,,6,Regional,pending,,,,,,,,
Personalized Care Services Limited,http://personalizedcareservices.co.uk/,+44 1535 958800,info@personalizedcareservices.co.uk,,2,Local,pending,,,,,,,,
PIERS (UK)Limited,https://www.pier-uk.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,+44 1925 228674,,,8,Regional,pending,,,,,,,,
Pinnacle Care and Support Services Ltd,http://pinnaclecaring.co.uk/,+44 1244 457244,info@pinnaclecaring.co.uk,,1,Local,pending,,,,,,,,
Positive Independence Ltd,https://www.positiveindependence.co.uk/contact-us,+44 1636 642906,info@positiveindependence.co.uk,,4,Local,pending,,,,,,,,
Potensial,https://potens-uk.com,0344 326 1100,info@potens-uk.com,,2,Local,pending,,,,,,,,
Prof-care Limited,http://www.prof-care.com/,,info@prof-care.com,,1,Local,pending,,,,,,,,
Provide Community Interest Company,https://providecommunity.org.uk/,+44 300 303 9999,,,1,Local,pending,,,,,,,,
PSS(UK) Ltd,http://www.psspeople.com/,+44 151 702 5555,hello@pss.org.uk,,1,Local,pending,,,,,,,,
Parallel Independence Ltd,http://parallelcare.co.uk/,+44 1823 326010,,,2,Local,pending,,,,,,,,
Park Homes,https://www.lagganhousecountrypark.co.uk/,+44 1465 831229,enquiries@lagganhousecountrypark.co.uk,,2,Local,pending,,,,,,,,
Parkside Care Ltd,http://www.parksidehome.co.uk/,+44 1708 743110,,,1,Local,pending,,,,,,,,
Pathways Care Group Limited,https://www.pathwayscareuk.org/,+44 191 492 3663,welcome@pathwayscareuk.org,,4,Regional,pending,,,,,,,,
Pathways Care Group Limited t/a Clearwater Care - a Salutem Comp,https://www.salutemcareandeducation.co.uk/,+44 117 333 6188,info@thewellspringcare.co.uk,,1,Local,pending,,,,,,,,
